revenue,operating_expenses,operating_profit,depreciation,interest,profit_before_tax,tax,net_profit,profit_TTM
692.1,546.5,135.5,21.1,0.9,123.6,30.6,93.0,358.3
12653.0,11118.0,1411.0,144.0,140.0,1251.0,336.0,915.0,3302.0
2686.0,1835.0,825.0,201.0,91.0,559.0,173.0,386.0,1334.0
7069.1,5739.5,1221.4,341.7,247.2,740.7,198.1,525.9,2176.8
3062.5,2525.8,456.6,152.2,95.5,288.9,86.3,234.7,629.4
1812.0,1557.3,240.3,89.4,35.0,130.4,40.1,90.7,458.1
10275.0,8807.0,1325.0,657.0,871.0,-185.0,-96.0,-189.0,1856.0
16179.3,13461.2,2550.9,797.8,233.9,1686.2,409.4,1281.5,5694.1
28952.5,6189.3,7265.0,0.0,15498.2,5492.3,1944.0,3571.8,11918.9
1902.1,1705.8,184.3,50.9,1.4,144.0,36.9,107.3,251.3
6776.6,6269.8,466.7,65.3,26.2,446.0,106.3,339.3,1133.0
1147.9,1041.3,92.5,19.8,9.3,77.5,18.6,59.0,215.2
2487.0,2192.1,205.4,103.7,22.0,169.2,41.7,134.3,531.9
3889.0,2988.4,882.1,170.8,62.5,667.3,152.9,501.1,1998.7
464.4,337.3,110.8,13.7,0.3,113.0,28.9,84.2,408.2
2363.7,2222.5,70.3,11.7,11.4,118.1,49.3,36.7,199.5
1015.8,846.2,145.5,27.1,1.3,141.2,35.5,105.7,392.0
4161.4,3659.9,399.5,85.7,75.0,340.8,79.0,384.7,809.2
2542.4,2151.1,358.0,98.5,33.8,258.9,58.7,196.7,526.1
1555.5,1448.4,73.2,49.2,5.6,52.3,14.1,36.6,198.8
23255.7,18543.2,3972.7,897.0,303.3,3512.2,841.9,2646.3,11643.8
2509.6,2105.0,332.8,77.2,23.4,184.2,54.4,123.0,-102.2
735.9,517.0,204.7,30.3,6.1,182.4,46.3,136.0,506.0
1497.0,1281.0,213.0,85.0,95.0,36.0,12.0,34.0,203.0
642.2,512.3,101.9,38.5,8.5,82.9,21.7,96.0,439.5
28816.2,28183.8,609.9,0.0,0.0,621.5,43.9,380.2,1842.2
13465.9,11574.0,1464.6,0.0,0.0,1855.4,243.7,1689.0,6628.0
2005.4,1718.2,251.4,34.6,7.7,244.8,63.4,181.4,717.5
1144.3,965.9,138.3,13.8,0.7,163.9,42.0,121.9,443.4
133.0,16.6,92.0,5.1,0.7,110.6,27.9,86.5,327.8
5271.1,4612.4,743.5,0.0,0.0,763.6,186.4,577.3,1757.1
3325.2,2939.4,377.3,227.2,101.9,2.1,10.2,-30.8,284.3
230.1,77.9,129.4,6.5,0.0,145.6,35.8,108.9,320.2
884.0,823.0,-30.0,19.0,4.0,992.0,190.0,804.0,856.0
30505.3,25995.9,4224.8,1245.2,397.8,2866.4,837.7,1163.8,6624.9
1043.8,806.9,231.6,39.2,20.6,177.1,34.6,147.4,537.5
7730.4,4550.1,2821.9,48.0,1827.0,956.8,284.1,705.0,5231.9
4943.9,4744.3,198.9,36.4,17.1,146.1,35.2,107.3,308.7
6372.2,2495.1,3404.8,52.1,2209.4,1215.8,324.6,420.9,1532.3
1100.4,820.5,191.2,18.9,9.6,251.4,69.9,181.5,429.9
694.1,481.8,134.0,17.4,0.8,194.1,47.0,147.1,425.4
643.6,584.2,55.0,5.9,5.4,48.0,12.1,37.1,103.1
1277.1,1009.9,230.9,36.6,5.7,224.9,51.0,173.9,525.8
1489.4,1248.6,238.1,48.2,21.0,171.6,48.8,122.6,431.6
444.0,423.1,16.8,5.8,6.5,8.6,2.7,5.9,281.2
729.9,537.7,173.6,49.7,1.2,141.3,34.6,108.7,417.9
513.6,409.9,76.4,9.9,1.1,92.7,22.9,69.8,251.2
10571.0,10773.4,-246.5,0.0,0.0,-242.0,-46.7,-176.1,947.0
1710.6,322.5,1332.1,43.6,820.3,470.6,142.8,365.4,1506.7
2285.6,2240.8,31.8,12.9,2.5,29.4,1.8,27.3,106.6
985.8,858.2,124.9,24.7,5.4,97.5,20.1,77.4,349.3
5032.2,1400.2,1583.4,0.0,2048.6,947.2,226.1,721.2,2541.1
1249.0,433.5,810.2,25.8,215.1,569.4,145.7,423.6,1238.1
551.4,548.8,0.7,53.2,35.9,-86.4,-22.3,-64.1,-103.1
475.4,156.1,241.4,7.2,1.7,310.4,66.1,244.4,883.3
690.0,536.0,131.4,16.9,1.8,135.3,33.1,101.9,378.3
23276.6,23659.3,-508.1,0.0,0.0,-373.1,-657.5,378.2,1472.8
817.8,663.4,142.7,18.7,6.6,129.2,38.8,91.3,401.9
6105.1,4108.1,1527.6,349.6,0.3,1647.0,414.8,1236.7,6037.3
367.0,172.8,189.2,22.7,8.5,163.0,63.6,120.5,706.0
608.8,444.5,137.8,14.1,1.4,148.8,40.1,101.2,488.1
1783.5,1439.8,330.2,84.1,31.8,231.4,48.8,173.7,547.6
1893.5,1692.6,194.3,84.9,50.3,65.9,18.2,54.2,146.5
2589.0,521.0,1699.0,474.0,1165.0,413.0,119.0,372.0,1305.0
548.7,493.2,52.9,23.8,12.4,19.3,6.0,13.3,110.9
1247.6,248.8,902.3,12.3,423.9,466.8,119.7,347.0,1204.2
4414.0,3706.0,646.0,303.0,305.0,461.0,98.0,348.0,1447.0
608.7,528.2,79.1,10.9,0.8,68.7,18.6,50.1,189.3
727.6,639.1,69.8,25.7,13.6,49.2,14.5,34.8,146.9
1708.8,1242.8,407.3,83.5,42.0,340.6,34.9,302.4,1220.6
5735.5,1179.4,1920.5,0.0,2635.7,935.7,16.0,919.8,3420.8
497.6,123.5,367.8,7.6,203.6,157.4,35.7,121.7,465.4
765.4,162.0,481.1,13.0,2.3,588.1,151.6,436.5,1659.3
1954.2,1742.7,203.9,15.6,7.5,188.4,48.2,140.2,528.3
570.3,546.2,20.7,14.2,5.2,23.4,4.9,18.4,95.3
1795.1,1475.8,302.3,39.4,2.7,277.2,72.1,205.1,797.9
557.6,409.4,131.1,14.4,0.7,133.1,28.9,103.4,458.8
9048.6,7274.1,1631.3,208.2,47.0,1519.3,357.0,1161.8,4427.5
3234.0,2560.0,589.0,401.0,101.0,172.0,48.0,118.0,1041.0
1412.5,1151.0,223.6,36.5,6.6,218.5,55.5,202.1,802.9
708.4,641.5,63.5,22.6,2.9,41.4,12.4,29.4,121.3
1549.7,1113.3,380.9,17.8,3.1,415.4,102.5,312.9,1081.4
1104.8,815.7,279.9,37.6,27.3,224.2,57.2,172.7,571.0
5070.1,3811.9,1224.9,111.2,31.4,1222.0,313.9,908.1,2971.1
1633.3,1312.3,304.9,11.6,3.7,305.7,82.8,222.9,844.4
939.8,867.5,59.6,45.2,36.6,-9.5,-3.8,-6.9,156.8
5210.3,4616.0,298.3,6.2,132.7,455.4,85.2,394.3,1478.8
309.7,233.7,74.8,22.2,5.7,48.1,12.5,35.5,133.4
4253.0,3608.8,608.9,60.3,26.8,557.2,127.4,425.6,1607.2
184.0,193.8,-28.7,6.6,0.1,-16.4,1.6,-19.1,44.8
2533.7,788.3,1600.8,43.3,932.1,683.5,158.0,474.3,1690.7
1141.9,886.3,244.9,23.6,10.8,221.1,56.8,163.9,622.6
989.7,839.0,147.9,44.2,8.5,97.9,26.3,71.3,-502.2
1325.4,1102.7,207.1,21.5,5.7,195.5,50.4,145.1,378.4
552.5,387.6,142.9,33.2,5.6,126.1,36.2,93.1,424.1
441.2,344.1,87.2,18.4,5.5,73.2,6.4,66.8,264.3
618.0,516.5,98.2,43.9,27.4,30.2,7.8,22.4,107.7
329.3,214.7,80.0,8.0,2.3,104.3,23.9,69.4,321.1
39626.0,29554.0,9440.0,1166.0,138.0,8768.0,2553.0,6212.0,24871.0
776.7,758.0,1.5,4.3,64.3,-50.0,4.6,-54.2,-668.4
2846.0,2330.7,438.5,30.3,0.9,484.2,122.2,362.9,1208.7
351.4,253.1,84.2,16.0,2.2,80.9,18.8,62.2,233.7
946.0,795.5,142.0,32.2,21.5,96.8,26.5,71.1,183.2
960.3,783.7,163.1,67.5,34.2,74.8,22.1,52.7,915.2
